DFT,MACE,num_al
-894418.5366429,-894417.8987249326,44
-2267682.624667,-2267681.8523607287,14
-894418.5629892,-894417.9004902958,44
-2313458.080735,-2313457.3216169863,13
-2313458.075548,-2313457.3196834335,13
-894418.6023945,-894417.8922864549,44
-2313457.99611,-2313457.317509234,13
-894418.6057941,-894417.8929266569,44
-894418.2373009,-894417.8508996068,44
-894418.5214859,-894417.892549475,44
-2359233.566621,-2359232.7897195616,12
-940193.985775,-940193.3479890833,43
-2359233.652535,-2359232.8066901774,12
-940193.5494797,-940193.3217671255,43
-2405009.179758,-2405008.2838895298,11
-2405009.155209,-2405008.2825445626,11
-2405009.113671,-2405008.2833771436,11
-2450784.529144,-2450783.7526194984,10
-940194.0298756,-940193.3549017578,43
-2450784.709264,-2450783.7780780913,10
-2496560.083632,-2496559.248694794,9
-940194.0310152,-940193.3551094679,43
-940193.9194117,-940193.3319600043,43
-940193.9466948,-940193.3396990646,43
-2496560.062743,-2496559.239519642,9
-2496560.122041,-2496559.2509841304,9
-2542335.69002,-2542334.7386302217,8
-2542335.510745,-2542334.7282812996,8
-2542335.566417,-2542334.723884552,8
-2542335.624692,-2542334.723378356,8
-985969.2754972,-985968.8083922293,42
-985969.4718088,-985968.8184276152,42
-2588111.212014,-2588110.219592557,7
-2588111.127206,-2588110.2019675616,7
-2588111.146043,-2588110.208349748,7
-2633886.396193,-2633885.68181013,6
-985969.4715362,-985968.819723825,42
-2633886.642624,-2633885.7001659125,6
-985969.4757521,-985968.8202807127,42
-985969.4706306,-985968.8065081254,42
-2679662.091031,-2679661.172781399,5
-2679662.12694,-2679661.1751973005,5
-2679662.103756,-2679661.171980454,5
-2679662.082997,-2679661.1741710114,5
-1031744.898635,-1031744.2778311045,41
-1031744.876014,-1031744.2758716771,41
-619765.8877529,-619765.1819355029,50
-1031744.832509,-1031744.2737446496,41
-619765.8866684,-619765.1753728314,50
-619762.6812136,-619764.9705055206,50
-2725437.470543,-2725436.660116488,4
-1031744.840183,-1031744.2569974846,41
-2725437.603539,-2725436.6579796406,4
-2725437.673486,-2725436.668244629,4
-1031742.015783,-1031744.1848675553,41
-1031744.934955,-1031744.261414352,41
-2771213.057447,-2771212.1497680196,3
-2771204.945488,-2771208.0269644186,3
-1031744.892052,-1031744.2603200048,41
-2771213.017908,-2771212.147943849,3
-1031744.746091,-1031744.2575519804,41
-2771212.976356,-2771212.1458385144,3
-2771213.166834,-2771212.1492541474,3
-2816988.556252,-2816987.6357140006,2
-1077520.377262,-1077519.7343637869,40
-2816980.233451,-2816983.2848716555,2
-2816988.643233,-2816987.640770979,2
-1077520.332894,-1077519.733270807,40
-2862763.997775,-2862763.128510209,1
-665541.3510053,-665540.6356172321,49
-665541.3636418,-665540.6362631486,49
-1077520.32086,-1077519.72137918,40
-1123295.762168,-1123295.1837847196,39
-665541.3327983,-665540.6328401292,49
-665541.3636141,-665540.6321748263,49
-711316.7869389,-711316.0828709644,48
-711316.7533577,-711316.0893158915,48
-711316.7524343,-711316.0881375027,48
-711316.7801301,-711316.083373071,48
-711316.6261174,-711316.0722280069,48
-757092.0671374,-757091.5411871446,47
-1123295.873613,-1123295.1947379191,39
-757091.6685792,-757091.4638679452,47
-757092.2048246,-757091.5377800021,47
-1169071.253246,-1169070.6322153483,38
-1169071.309092,-1169070.6394701798,38
-757089.5438517,-757091.2988647541,47
-757092.2307812,-757091.5215779785,47
-757091.9372916,-757091.4944919143,47
-802867.6015881,-802866.980978719,46
-1169071.194786,-1169070.632302283,38
-802867.3562831,-802866.9650844168,46
-1169071.28988,-1169070.6365735026,38
