DFT,MACE,num_al
-894413.9486395,-894417.7190034477,44
-894415.7441121,-894417.759356095,44
-894418.505954,-894417.8368964456,44
-894418.5366429,-894417.8376256437,44
-894418.5430956,-894417.8381627001,44
-894418.5492081,-894417.8384575313,44
-894418.5609081,-894417.838806303,44
-894418.5670109,-894417.8391621014,44
-894418.5693651,-894417.8397058959,44
-894418.5590497,-894417.8397058959,44
-894418.5332167,-894417.8393919434,44
-894418.5604904,-894417.8397715531,44
-894417.0030494,-894417.7922024409,44
-894418.5609006,-894417.8397941596,44
-894418.5614428,-894417.8398489814,44
-894418.5615566,-894417.839870851,44
-894418.5619394,-894417.8399013983,44
-894418.5623243,-894417.8399429945,44
-894418.5627476,-894417.8400021177,44
-894418.5627879,-894417.8400429807,44
-894418.5629761,-894417.8400568858,44
-894418.5631454,-894417.8400806916,44
-894418.5632513,-894417.8401035032,44
-894417.5594528,-894417.8045149801,44
-894418.5633491,-894417.8401339247,44
-894418.5634213,-894417.8401635787,44
-894418.5629892,-894417.8401726981,44
-894417.761629,-894417.8094270441,44
-894417.9174246,-894417.8135441313,44
-894418.0685207,-894417.8176753146,44
-894418.2951023,-894417.8248081902,44
-894418.3791685,-894417.8313669083,44
-894418.4742276,-894417.8348947909,44
-894414.1628012,-894417.7176301187,44
-894415.6699585,-894417.7471812242,44
-894418.5653815,-894417.8201904692,44
-894418.5805482,-894417.8224103224,44
-894418.5823657,-894417.8233796872,44
-894418.5918777,-894417.8237406735,44
-894418.5950625,-894417.8241541382,44
-894418.5976238,-894417.8243089797,44
-894418.6000112,-894417.824738813,44
-894418.6032657,-894417.8254535546,44
-894418.6006462,-894417.8254535546,44
-894418.5836902,-894417.8258777098,44
-894416.3989611,-894417.7633204238,44
-894418.6011995,-894417.8256479806,44
-894418.6018016,-894417.825714862,44
-894418.6023945,-894417.825841702,44
-894418.6028843,-894417.8259508667,44
-894418.6032177,-894417.8260774494,44
-894418.6035154,-894417.8261949674,44
-894418.6039651,-894417.8263142753,44
-894418.6041809,-894417.8264293568,44
-894418.6044327,-894417.8265427218,44
-894418.6045355,-894417.8266224471,44
-894417.0346931,-894417.7791860866,44
-894418.6046361,-894417.8266462081,44
-894418.6053701,-894417.8266690096,44
-894418.605442,-894417.8267013613,44
-894418.6055073,-894417.82676812,44
-894418.605601,-894417.8268340713,44
-894418.6056759,-894417.826893179,44
-894418.6057083,-894417.82694775,44
-894418.605739,-894417.827014765,44
-894418.6057687,-894417.8270881777,44
-894418.6057941,-894417.8271652535,44
-894417.8265121,-894417.7956746744,44
-894418.6058108,-894417.8272316721,44
-894418.6052596,-894417.8272472897,44
-894418.2373009,-894417.8064181026,44
-894418.376041,-894417.8097465014,44
-894418.4690848,-894417.8125233662,44
-894418.5163888,-894417.8150138973,44
-894418.5481088,-894417.8173749732,44
-894414.0287748,-894417.7302797236,44
-894415.3938022,-894417.7652265043,44
-894418.5214859,-894417.8450002637,44
-894418.5395268,-894417.8467051852,44
-894418.5528902,-894417.8484182621,44
-894418.563489,-894417.8500720541,44
-894418.568229,-894417.8502442276,44
-894418.5697125,-894417.8504596245,44
-894418.570371,-894417.8506728549,44
-894418.5711028,-894417.8508997806,44
-894418.5659634,-894417.8508997806,44
-894418.5659634,-894417.8508997806,44
-894416.9873877,-894417.804919856,44
-894418.5388738,-894417.8504827406,44
-894418.5651628,-894417.8509317692,44
-894418.566193,-894417.8509201304,44
-894418.5662829,-894417.8509548734,44
-894418.5663978,-894417.8509917749,44
-894418.5665777,-894417.8510207111,44
-894418.5666778,-894417.8510573255,44
-894418.5668425,-894417.8511049671,44
-894418.5669809,-894417.8511439489,44
-894418.5670627,-894417.8511863024,44
-894417.1820701,-894417.8072099457,44
-894418.5671309,-894417.8512306968,44
-894418.56715,-894417.8512699457,44
-894418.5668291,-894417.8512791325,44
-894417.3933129,-894417.8132744661,44
-894417.9186125,-894417.8255430755,44
-894418.1876877,-894417.8338824753,44
-894418.2702233,-894417.8370115883,44
-894418.3938247,-894417.8398607553,44
-894418.485911,-894417.8441200221,44
-940189.5022873,-940193.1856798329,43
-940190.7433923,-940193.2138255689,43
-940193.9625898,-940193.2902417197,43
-940193.969401,-940193.2903403601,43
-940193.9773791,-940193.2901712975,43
-940193.9797805,-940193.2898160612,43
-940193.9799338,-940193.2894994569,43
-940193.9819796,-940193.2894638635,43
-940193.9830087,-940193.2892773886,43
-940193.9833842,-940193.289090642,43
-940193.9862196,-940193.2890906399,43
-940193.9587063,-940193.2886239837,43
-940193.0819992,-940193.2628476288,43
-940193.985775,-940193.2890678652,43
-940193.986756,-940193.2890954087,43
-940193.9869327,-940193.2890441339,43
-940193.9870716,-940193.2890451191,43
-940193.9872701,-940193.2890448708,43
-940193.9874216,-940193.2890386742,43
-940193.9874818,-940193.2890249853,43
-940193.987524,-940193.28898476,43
-940193.9875555,-940193.2889432509,43
-940193.9860271,-940193.2889405204,43
-940193.4510669,-940193.2686164504,43
-940193.5494797,-940193.2731619729,43
-940193.7096151,-940193.2815504576,43
-940193.7833622,-940193.2876618775,43
-940193.8761347,-940193.289235118,43
-940193.9328616,-940193.2898087358,43
-940193.9581843,-940193.2897625312,43
-940189.2380671,-940193.1744500751,43
-940191.4094553,-940193.2155258717,43
-940193.9798273,-940193.276963567,43
-940193.9924677,-940193.2776821255,43
-940194.0156315,-940193.2783221063,43
-940194.0170146,-940193.2788726883,43
-940194.0216136,-940193.2790614058,43
-940194.0294803,-940193.2791775974,43
-940194.0314635,-940193.2794351763,43
-940194.0256614,-940193.2794351747,43
-940194.0065062,-940193.2790591646,43
-940194.0294569,-940193.2794954362,43
-940192.3536151,-940193.2440822403,43
-940194.0298756,-940193.2795212289,43
-940194.0305557,-940193.2795555698,43
-940194.031104,-940193.2796109709,43
-940194.0314805,-940193.2796661261,43
-940194.0317385,-940193.2796996641,43
-940194.0319821,-940193.2797436576,43
-940194.0321047,-940193.2797741482,43
-940194.0322142,-940193.279826787,43
-940194.032282,-940193.2798383875,43
-940194.031158,-940193.2798528592,43
-940192.7736566,-940193.2514167625,43
-940194.0312187,-940193.2798732509,43
-940194.0311354,-940193.279889482,43
-940194.0311567,-940193.279918083,43
-940194.0312092,-940193.2799388856,43
-940194.0312388,-940193.2799590981,43
-940194.0312637,-940193.2799764407,43
-940194.0312757,-940193.2799961792,43
-940194.0312973,-940193.2800196761,43
-940194.0313178,-940193.2800457673,43
-940194.0256614,-940193.2794351763,43
-940192.9709063,-940193.2568444149,43
-940194.0256614,-940193.2794351763,43
-940194.0065062,-940193.2790591646,43
-940194.0256614,-940193.2794351763,43
-940194.0065062,-940193.2790591662,43
-940194.0294569,-940193.2794954362,43
-940194.0298756,-940193.2795212289,43
-940194.0305557,-940193.2795555698,43
-940194.031104,-940193.2796109709,43
-940194.0314805,-940193.2796661245,43
-940194.0317385,-940193.2796996625,43
-940193.3009107,-940193.2623040664,43
-940194.0319821,-940193.2797436592,43
-940194.0321047,-940193.2797741466,43
-940194.0322142,-940193.279826787,43
-940194.032282,-940193.2798383876,43
-940194.031158,-940193.2798528608,43
-940194.0312187,-940193.2798732509,43
-940194.0311354,-940193.2798894836,43
-940194.0311567,-940193.279918083,43
-940194.0312092,-940193.2799388856,43
-940194.0312388,-940193.2799590981,43
-940193.5428028,-940193.267864674,43
-940194.0312637,-940193.2799764423,43
-940194.0312757,-940193.2799961793,43
-940194.0312973,-940193.2800196761,43
-940194.0313178,-940193.2800457658,43
-940194.0313339,-940193.2800727586,43
-940194.0310152,-940193.2800727586,43
-940193.8315653,-940193.272969915,43
-940193.8978487,-940193.2746384997,43
-940193.9460513,-940193.2762952328,43
-940189.8258496,-940193.194557491,43
-940191.3451522,-940193.2236797197,43
-940193.9194117,-940193.2809739899,43
-940193.9248705,-940193.2821669996,43
-940193.9307743,-940193.2826034866,43
-940193.9428942,-940193.2833250604,43
-940193.9466948,-940193.284049732,43
-940193.9509436,-940193.2846360255,43
-940193.9541674,-940193.2849503317,43
-940193.9552749,-940193.2854889544,43
-940193.9570185,-940193.2854889563,43
-940193.9347118,-940193.2856628256,43
-940192.8227042,-940193.2535423621,43
-940193.9586343,-940193.2856446634,43
-940193.9589706,-940193.2856676255,43
-940193.9594092,-940193.2856988152,43
-940193.959857,-940193.2857631868,43
-940193.960148,-940193.2858163128,43
-940193.960412,-940193.2858834086,43
-940193.9605093,-940193.2859196311,43
-940193.9608026,-940193.2859339968,43
-940193.9608874,-940193.285955905,43
-940193.9609425,-940193.2860020057,43
-940193.0773598,-940193.258289187,43
-940193.961041,-940193.2860433947,43
-940193.961079,-940193.2860883767,43
-940193.9609027,-940193.2860982486,43
-940193.3942219,-940193.2641070364,43
-940193.629913,-940193.2692149024,43
-940193.7686245,-940193.2733674548,43
-940193.8359743,-940193.2765222008,43
-940193.8559948,-940193.2787746723,43
-940193.901948,-940193.2798515037,43
-985964.5555407,-985968.6380270884,42
-985966.1634724,-985968.669577339,42
-985969.3061728,-985968.7368713458,42
-985969.3314616,-985968.7367537416,42
-985969.3478713,-985968.7367373834,42
-985969.3783509,-985968.7377252867,42
-985969.4009659,-985968.738800368,42
-985969.4066924,-985968.7399339849,42
-985969.4003865,-985968.7399339849,42
-985969.3857133,-985968.739489949,42
-985969.404775,-985968.7399836228,42
-985969.4064266,-985968.73996445,42
-985967.1163351,-985968.6970712745,42
-985969.4072289,-985968.739889543,42
-985969.4075269,-985968.7398628324,42
-985969.4081372,-985968.7398235062,42
-985969.4086507,-985968.7397597418,42
-985969.4093749,-985968.7397466401,42
-985969.4097873,-985968.7397278388,42
-985969.409917,-985968.7396781403,42
-985969.4099283,-985968.7396361631,42
-985969.4100419,-985968.7396215599,42
-985969.410076,-985968.7396092373,42
-985967.8702209,-985968.7095634403,42
-985969.4101841,-985968.7395893334,42
-985969.410244,-985968.7395552143,42
-985969.4102584,-985968.7395057235,42
-985969.410858,-985968.739498324,42
-985968.3612304,-985968.7174759323,42
-985968.8700252,-985968.7271528911,42
-985969.0734907,-985968.7324671895,42
-985969.1690343,-985968.7343005595,42
-985969.2385065,-985968.7356729802,42
-985969.2754972,-985968.7364435288,42
-985965.0741241,-985968.6435113733,42
-985966.7637208,-985968.6756163873,42
-985969.4035943,-985968.7294774017,42
-985969.4315346,-985968.7301401346,42
-985969.443702,-985968.7304591807,42
-985969.4611509,-985968.7308393964,42
-985969.4718088,-985968.7311382827,42
-985969.4741253,-985968.7312361625,42
-985969.4760244,-985968.7311415104,42
-985969.4778633,-985968.731169953,42
-985969.4696863,-985968.7311699548,42
-985969.4521683,-985968.7309967976,42
-985967.7298826,-985968.6962329462,42
