DFT,MACE,num_al
-894462.4271066,-894461.8849963287,44
-894458.3614145,-894460.9091811132,44
-894461.3036531,-894461.8351686139,44
-894461.8870046,-894461.8460898311,44
-940238.0751918,-940237.5956949656,43
-940238.0324753,-940237.625341698,43
-940234.9605233,-940236.6879983643,43
-940236.4372917,-940237.057851232,43
-986013.0051426,-986013.2366570558,42
-986013.6994239,-986013.326878861,42
-986010.896555,-986012.9592591899,42
-986012.8848506,-986013.3602950248,42
-1031789.688422,-1031789.1278577007,41
-1031789.429976,-1031789.0655233278,41
-1031789.250133,-1031789.1063019154,41
-1031787.893309,-1031788.8096161084,41
-1077565.311392,-1077564.8705498662,40
-1077564.892664,-1077564.801454068,40
-1077560.972053,-1077564.2425676426,40
-1077564.140681,-1077564.7225825891,40
-1123341.017183,-1123340.6093882262,39
-1123338.057322,-1123340.0476080608,39
-1123340.376723,-1123340.3806744234,39
-1169116.814581,-1169116.3454020582,38
-1169116.362024,-1169116.3409754985,38
-1169115.011394,-1169116.2471607004,38
-1169114.793081,-1169116.2685808642,38
-1214892.507052,-1214892.1040381498,37
-1214892.257023,-1214891.9503909904,37
-1214886.841013,-1214891.5685202237,37
-1214889.919497,-1214891.8562786253,37
-1260668.485229,-1260667.8772395574,36
-1260668.435449,-1260667.8318683377,36
-1260663.042812,-1260667.3413050491,36
-1260666.442275,-1260667.6063312704,36
-1306444.1296,-1306443.6007351633,35
-1306443.464687,-1306443.5717912314,35
-1306442.906695,-1306443.5515253614,35
-1306443.738813,-1306443.5809269287,35
-1306442.877938,-1306443.5601793986,35
-1352219.86394,-1352219.3203841376,34
-1352219.908699,-1352219.323748111,34
-1352218.521938,-1352219.125075565,34
-1397994.876272,-1397994.948048125,33
-1397995.489377,-1397995.0392496046,33
-1397990.403229,-1397994.7712925975,33
-1397994.346,-1397994.9217138737,33
-1443769.872182,-1443770.7900242798,32
-1443770.973323,-1443770.8077292992,32
-1443770.711301,-1443770.7592904598,32
-1443766.911588,-1443770.560536812,32
-1489547.302873,-1489546.5480404936,31
-1489545.301826,-1489546.5082704786,31
-1489546.695505,-1489546.5076269917,31
-1489541.521034,-1489546.3114561331,31
-1489545.663775,-1489546.4483537606,31
-1535322.902511,-1535322.2983421518,30
-1535320.874821,-1535322.196602942,30
-1535320.24798,-1535322.0469157542,30
-1581097.287935,-1581097.9485303266,29
-1581092.816251,-1581097.8205035578,29
-1581095.133667,-1581097.9198801613,29
-1626874.467796,-1626873.7389344636,28
-1626874.28497,-1626873.725240282,28
-1626872.504858,-1626873.7220430803,28
-1626873.033153,-1626873.718308535,28
-1672650.283426,-1672649.4694709114,27
-1672649.682132,-1672649.4662165178,27
-1672648.829017,-1672649.4554633282,27
-1672645.415435,-1672649.4014390956,27
-1672648.837457,-1672649.4854298793,27
-1718426.063061,-1718425.2088109201,26
-1718425.140381,-1718425.1929385802,26
-1718423.107267,-1718425.1319391031,26
-1718420.632561,-1718425.1194727141,26
-1718424.491717,-1718425.198360328,26
-1764200.630427,-1764200.8979561813,25
-1764197.130912,-1764200.8461628265,25
-528251.4852154,-528253.9322455191,52
-528255.574788,-528255.51095143,52
-528256.2006076,-528255.7796856146,52
-1809977.613409,-1809976.6985126524,24
-1809976.576336,-1809976.672727936,24
-1809976.031918,-1809976.660167878,24
-1809974.617504,-1809976.6554691338,24
