DFT,MACE,num_al
-894413.9486395,-894460.7418705487,44
-894415.7441121,-894460.8579460754,44
-894418.505954,-894461.3129299413,44
-894418.5366429,-894461.3208580955,44
-894418.5430956,-894461.3315495239,44
-894418.5492081,-894461.3368433916,44
-894418.5609081,-894461.3440052345,44
-894418.5670109,-894461.3574353529,44
-894418.5693651,-894461.3754007954,44
-894418.5590497,-894461.3754007956,44
-894418.5332167,-894461.3776057676,44
-894418.5604904,-894461.377087487,44
-894417.0030494,-894461.00140084,44
-894418.5609006,-894461.377871784,44
-894418.5614428,-894461.3805728708,44
-894418.5615566,-894461.3811932944,44
-894418.5619394,-894461.382271308,44
-894418.5623243,-894461.3833796792,44
-894418.5627476,-894461.385278522,44
-894418.5627879,-894461.386669548,44
-894418.5629761,-894461.3870898843,44
-894418.5631454,-894461.3881149997,44
-894418.5632513,-894461.3893627805,44
-894417.5594528,-894461.026472435,44
-894418.5633491,-894461.3902393489,44
-894418.5634213,-894461.3913163852,44
-894418.5629892,-894461.3916402244,44
-894417.761629,-894461.0633467352,44
-894417.9174246,-894461.0741346339,44
-894418.0685207,-894461.0967788599,44
-894418.2951023,-894461.1350785694,44
-894418.3791685,-894461.2073055012,44
-894418.4742276,-894461.2557736363,44
-894414.1628012,-894460.7444154088,44
-894415.6699585,-894460.838653502,44
-894418.5653815,-894461.1981215526,44
-894418.5805482,-894461.2430295865,44
-894418.5823657,-894461.2713063266,44
-894418.5918777,-894461.2777144177,44
-894418.5950625,-894461.2894080757,44
-894418.5976238,-894461.29309864,44
-894418.6000112,-894461.3058524713,44
-894418.6032657,-894461.3326055163,44
-894418.6006462,-894461.3326055161,44
-894418.5836902,-894461.3645262489,44
-894416.3989611,-894460.964884607,44
-894418.6011995,-894461.3410731504,44
-894418.6018016,-894461.3433811656,44
-894418.6023945,-894461.3476509361,44
-894418.6028843,-894461.3521719935,44
-894418.6032177,-894461.3570193471,44
-894418.6035154,-894461.362172868,44
-894418.6039651,-894461.3669409854,44
-894418.6041809,-894461.3709882407,44
-894418.6044327,-894461.3760034491,44
-894418.6045355,-894461.3800671103,44
-894417.0346931,-894460.9922994102,44
-894418.6046361,-894461.3809960125,44
-894418.6053701,-894461.381783312,44
-894418.605442,-894461.3828554868,44
-894418.6055073,-894461.3847910806,44
-894418.605601,-894461.3867030233,44
-894418.6056759,-894461.3888435008,44
-894418.6057083,-894461.3907589521,44
-894418.605739,-894461.3923089209,44
-894418.6057687,-894461.3934079958,44
-894418.6057941,-894461.394476984,44
-894417.8265121,-894461.0243147904,44
-894418.6058108,-894461.3959249633,44
-894418.6052596,-894461.3962165447,44
-894418.2373009,-894461.061438756,44
-894418.376041,-894461.0754230662,44
-894418.4690848,-894461.0948621905,44
-894418.5163888,-894461.1230863619,44
-894418.5481088,-894461.1547520682,44
-894414.0287748,-894460.7277400603,44
-894415.3938022,-894460.8719845247,44
-894418.5214859,-894461.2356938883,44
-894418.5395268,-894461.2633820861,44
-894418.5528902,-894461.3016601758,44
-894418.563489,-894461.3451503977,44
-894418.568229,-894461.349562599,44
-894418.5697125,-894461.3562572069,44
-894418.570371,-894461.3631495762,44
-894418.5711028,-894461.3717096242,44
-894418.5659634,-894461.3717096241,44
-894418.5659634,-894461.3717096242,44
-894416.9873877,-894461.0230256424,44
-894418.5388738,-894461.372898748,44
-894418.5651628,-894461.3731975522,44
-894418.566193,-894461.3723346634,44
-894418.5662829,-894461.3736854001,44
-894418.5663978,-894461.3747322209,44
-894418.5665777,-894461.3758950324,44
-894418.5666778,-894461.377049403,44
-894418.5668425,-894461.3780994379,44
-894418.5669809,-894461.3787426265,44
-894418.5670627,-894461.3794809888,44
-894417.1820701,-894461.0273820392,44
-894418.5671309,-894461.3804844486,44
-894418.56715,-894461.3811478805,44
-894418.5668291,-894461.3813231334,44
-894417.3933129,-894461.04020057,44
-894417.9186125,-894461.078095608,44
-894418.1876877,-894461.117538285,44
-894418.2702233,-894461.1567628897,44
-894418.3938247,-894461.1755629082,44
-894418.485911,-894461.2290243149,44
-940189.5022873,-940236.555440716,43
-940190.7433923,-940236.6793293484,43
-940193.9625898,-940237.1115111402,43
-940193.969401,-940237.1046801786,43
-940193.9773791,-940237.104056527,43
-940193.9797805,-940237.1106784288,43
-940193.9799338,-940237.1122174498,43
-940193.9819796,-940237.1109111223,43
-940193.9830087,-940237.1069869786,43
-940193.9833842,-940237.1041499479,43
-940193.9862196,-940237.104149948,43
-940193.9587063,-940237.1115094449,43
-940193.0819992,-940236.8101288123,43
-940193.985775,-940237.1062435285,43
-940193.986756,-940237.1045080125,43
-940193.9869327,-940237.1053939289,43
-940193.9870716,-940237.1054701933,43
-940193.9872701,-940237.1057513707,43
-940193.9874216,-940237.1059858568,43
-940193.9874818,-940237.1062862311,43
-940193.987524,-940237.1070512858,43
-940193.9875555,-940237.1077536709,43
-940193.9860271,-940237.1078091925,43
-940193.4510669,-940236.8181370683,43
-940193.5494797,-940236.8483298828,43
-940193.7096151,-940236.9364538946,43
-940193.7833622,-940237.0730686649,43
-940193.8761347,-940237.0938496379,43
-940193.9328616,-940237.112469902,43
-940193.9581843,-940237.117508966,43
-940189.2380671,-940236.5904412596,43
-940191.4094553,-940236.6643047176,43
-940193.9798273,-940237.0121554191,43
-940193.9924677,-940237.0339759837,43
-940194.0156315,-940237.0569748901,43
-940194.0170146,-940237.078984809,43
-940194.0216136,-940237.0841572711,43
-940194.0294803,-940237.0877559964,43
-940194.0314635,-940237.1029810027,43
-940194.0256614,-940237.1029810027,43
-940194.0065062,-940237.1123050761,43
-940194.0294569,-940237.1051705503,43
-940192.3536151,-940236.8615322277,43
-940194.0298756,-940237.1067465461,43
-940194.0305557,-940237.1099845697,43
-940194.031104,-940237.1135013896,43
-940194.0314805,-940237.1173992138,43
-940194.0317385,-940237.1211980523,43
-940194.0319821,-940237.1250915809,43
-940194.0321047,-940237.1288724147,43
-940194.0322142,-940237.1327153997,43
-940194.032282,-940237.133545007,43
-940194.031158,-940237.1342378457,43
-940192.7736566,-940236.8805577593,43
-940194.0312187,-940237.1350987961,43
-940194.0311354,-940237.1356247461,43
-940194.0311567,-940237.1361193638,43
-940194.0312092,-940237.13697665,43
-940194.0312388,-940237.1378009361,43
-940194.0312637,-940237.1386693872,43
-940194.0312757,-940237.1395781172,43
-940194.0312973,-940237.1403714407,43
-940194.0313178,-940237.1411589597,43
-940194.0256614,-940237.1029810029,43
-940192.9709063,-940236.8824983604,43
-940194.0256614,-940237.1029810027,43
-940194.0065062,-940237.1123050763,43
-940194.0256614,-940237.1029810027,43
-940194.0065062,-940237.1123050763,43
-940194.0294569,-940237.1051705503,43
-940194.0298756,-940237.1067465461,43
-940194.0305557,-940237.1099845697,43
-940194.031104,-940237.1135013896,43
-940194.0314805,-940237.1173992138,43
-940194.0317385,-940237.1211980521,43
-940193.3009107,-940236.889970607,43
-940194.0319821,-940237.1250915811,43
-940194.0321047,-940237.1288724149,43
-940194.0322142,-940237.1327154,43
-940194.032282,-940237.133545007,43
-940194.031158,-940237.1342378459,43
-940194.0312187,-940237.135098796,43
-940194.0311354,-940237.1356247464,43
-940194.0311567,-940237.1361193638,43
-940194.0312092,-940237.1369766502,43
-940194.0312388,-940237.1378009364,43
-940193.5428028,-940236.938197179,43
-940194.0312637,-940237.1386693874,43
-940194.0312757,-940237.1395781173,43
-940194.0312973,-940237.1403714406,43
-940194.0313178,-940237.1411589601,43
-940194.0313339,-940237.1418958196,43
-940194.0310152,-940237.1418958193,43
-940193.8315653,-940236.9721867335,43
-940193.8978487,-940236.9872111373,43
-940193.9460513,-940237.0070748127,43
-940189.8258496,-940236.5524286407,43
-940191.3451522,-940236.657961349,43
-940193.9194117,-940236.9268573871,43
-940193.9248705,-940236.9589824382,43
-940193.9307743,-940236.9692154324,43
-940193.9428942,-940236.9881252858,43
-940193.9466948,-940237.0053656396,43
-940193.9509436,-940237.0279015504,43
-940193.9541674,-940237.0481426495,43
-940193.9552749,-940237.0624886215,43
-940193.9570185,-940237.0624886215,43
-940193.9347118,-940237.0764063396,43
-940192.8227042,-940236.7478966536,43
-940193.9586343,-940237.0656643211,43
-940193.9589706,-940237.0670440466,43
-940193.9594092,-940237.0683549417,43
-940193.959857,-940237.071373833,43
-940193.960148,-940237.0750923245,43
-940193.960412,-940237.0793580689,43
-940193.9605093,-940237.083538913,43
-940193.9608026,-940237.0842974585,43
-940193.9608874,-940237.085300634,43
-940193.9609425,-940237.0869972114,43
-940193.0773598,-940236.749216322,43
-940193.961041,-940237.0885521164,43
-940193.961079,-940237.0904199834,43
-940193.9609027,-940237.0907444496,43
