DFT,MACE,num_al
-894413.9486395,-773.1346910843777,44
-894415.7441121,-774.853723018731,44
-894418.505954,-777.4820509810429,44
-894418.5366429,-777.5108573041473,44
-894418.5430956,-777.5206997084317,44
-894418.5492081,-777.5266761408645,44
-894418.5609081,-777.5368813301719,44
-894418.5670109,-777.5428083560396,44
-894418.5693651,-777.544835656874,44
-894418.5590497,-777.5448356568734,44
-894418.5332167,-777.5197497129692,44
-894418.5604904,-777.5460146196713,44
-894417.0030494,-776.0651955386805,44
-894418.5609006,-777.5463063684955,44
-894418.5614428,-777.5466357369497,44
-894418.5615566,-777.5467308599209,44
-894418.5619394,-777.5470545918463,44
-894418.5623243,-777.5472711333011,44
-894418.5627476,-777.5474074518585,44
-894418.5627879,-777.5472188399468,44
-894418.5629761,-777.5474433268487,44
-894418.5631454,-777.5476749513911,44
-894418.5632513,-777.5478793391904,44
-894417.5594528,-776.5996308277566,44
-894418.5633491,-777.5480189409241,44
-894418.5634213,-777.5482868315463,44
-894418.5629892,-777.5482926276447,44
-894417.761629,-776.7868618538414,44
-894417.9174246,-776.9343404850848,44
-894418.0685207,-777.0758978420614,44
-894418.2951023,-777.2851335714876,44
-894418.3791685,-777.3625698066836,44
-894418.4742276,-777.4504535397385,44
-894414.1628012,-773.3227071115801,44
-894415.6699585,-774.7494914304164,44
-894418.5653815,-777.4963960546506,44
-894418.5805482,-777.513184959327,44
-894418.5823657,-777.5143207031176,44
-894418.5918777,-777.5236699820596,44
-894418.5950625,-777.5279061353887,44
-894418.5976238,-777.5303581222995,44
-894418.6000112,-777.5327993046305,44
-894418.6032657,-777.5364418741894,44
-894418.6006462,-777.5364418741893,44
-894418.5836902,-777.5205913064797,44
-894416.3989611,-775.4468659041345,44
-894418.6011995,-777.5370439828723,44
-894418.6018016,-777.5374866507016,44
-894418.6023945,-777.5381684929588,44
-894418.6028843,-777.5382716217682,44
-894418.6032177,-777.5384063945869,44
-894418.6035154,-777.5386058623027,44
-894418.6039651,-777.5390608418913,44
-894418.6041809,-777.5393529971394,44
-894418.6044327,-777.539450530757,44
-894418.6045355,-777.5395595828224,44
-894417.0346931,-776.0584042238089,44
-894418.6046361,-777.5396075121644,44
-894418.6053701,-777.5396561616934,44
-894418.605442,-777.5396589369469,44
-894418.6055073,-777.5395907250055,44
-894418.605601,-777.5395522730726,44
-894418.6056759,-777.5394439847402,44
-894418.6057083,-777.5394661606063,44
-894418.605739,-777.5393566275355,44
-894418.6057687,-777.5392000647047,44
-894418.6057941,-777.538996066874,44
-894417.8265121,-776.8002590518096,44
-894418.6058108,-777.5386452026494,44
-894418.6052596,-777.5386217420339,44
-894418.2373009,-777.1746292522395,44
-894418.376041,-777.3098101442413,44
-894418.4690848,-777.4033175257921,44
-894418.5163888,-777.4462852331246,44
-894418.5481088,-777.4786518945488,44
-894414.0287748,-773.2419426301257,44
-894415.3938022,-774.5394201507446,44
-894418.5214859,-777.5055479561959,44
-894418.5395268,-777.5199448310556,44
-894418.5528902,-777.5320683132896,44
-894418.563489,-777.5424382441777,44
-894418.568229,-777.5474403125208,44
-894418.5697125,-777.5489683476271,44
-894418.570371,-777.5496169921151,44
-894418.5711028,-777.5506456002915,44
-894418.5659634,-777.5506456002917,44
-894418.5659634,-777.5506456002914,44
-894416.9873877,-776.0523214687771,44
-894418.5388738,-777.5243341114689,44
-894418.5651628,-777.5496245791246,44
-894418.566193,-777.5507624852735,44
