DFT,MACE
-504323.4066063,-284.37483633537596
-504314.5243177,-280.4984387223444
-504316.6569868,-282.3108067710264
-504316.6127462,-282.0261053068321
-504316.8906955,-282.09046143991816
-504314.077268,-280.3417641939676
-504314.0773391,-280.34004612188
-504314.0773345,-280.34006120460236
-504314.0773065,-280.3399808956359
-504311.6596693,-278.6077025557047
-504312.3162598,-279.04986332153425
-504313.0870136,-279.57973143138184
-504313.7050904,-279.97266422906733
-504314.1234782,-280.22241925130766
-504315.9153094,-281.5244814274159
-504316.8909063,-282.08785329432874
-504315.9153086,-281.5249861869079
-504315.9153129,-281.5248239030334
-504315.9153132,-281.52477493264337
-504315.9153261,-281.52472457692994
-504314.3930071,-280.32410512440657
-504314.3930059,-280.32390856821627
-504314.3930044,-280.323875235394
-504314.3932016,-280.3238052604535
-504318.0111342,-282.43984513680226
-504318.147705,-282.9561068557976
-504314.7644098,-280.7128019379127
-504318.2032364,-282.8632939726106
-504318.2039657,-282.86417916852855
-504318.2041371,-282.8614507799352
-504315.362752,-280.8924898571689
-504316.8990336,-281.9359318097157
-504318.0611584,-282.7133626755468
-504319.0033274,-283.3198508385906
-504319.7203011,-283.79466363202897
-504317.4335996,-282.4394761843203
-504317.4336188,-282.4388484928902
-504315.2509726,-280.98696364177323
-504317.4336228,-282.43903019265287
-504317.4336327,-282.4390805758519
-504316.1979554,-281.51526912570193
-504316.1981335,-281.5126778886632
-504316.1981426,-281.5129727781532
-504316.1983883,-281.51281923417525
-738723.1784888,-282.16246583854155
-741911.1871886,-282.7004506675998
-741012.9983412,-282.6142622233534
-741052.5414232,-282.62016288352334
-504316.0921262,-281.5163637347345
-741053.2846638,-282.6206823767821
-741327.8540627,-282.5173733182869
-741514.3755682,-282.54004487546024
-741459.5960877,-282.5341729900215
-741459.6464112,-282.5342748963124
-741458.7019715,-282.5342218006361
-504316.0642771,-281.3849321318306
-504317.1150568,-282.09730408702336
-504318.2518618,-282.888905566582
-504319.1800719,-283.5054322429901
-504316.8514909,-281.9753193879339
-504319.9454596,-283.98098402014324
-504315.0163158,-280.77696208370605
-504316.5646921,-281.80825624354793
-504317.6212803,-282.4708389294233
-504318.7297431,-283.1347201728921
-504319.9290208,-283.8605592774912
-504316.288091,-281.7883250667394
-504316.2880943,-281.7882200046293
-504316.2880372,-281.78840223546905
-504313.9271272,-280.0665137987131
-504317.5309685,-282.4254508363497
-504314.0504681,-280.5228263930612
-504314.0939428,-280.4584592719527
-504314.0958547,-280.4561702410412
-504314.0965514,-280.4488388967631
-504314.0965513,-280.44883438259467
-504314.0977008,-280.4488257066653
-504314.0977095,-280.44808475659465
-504314.0977928,-280.4480744698043
-504314.0826849,-280.2435089729464
-504314.9419164,-280.7973514610738
-504326.0755932,-286.97662682466165
-504316.0307975,-281.5191167635962
-504316.9307496,-282.06819864176975
-504317.6470433,-282.4619806566912
-740702.782745,-279.796404367122
-740945.763166,-279.8309400914002
-740907.3476478,-279.8290546599351
-740903.7118049,-279.82879443456903
-504313.9739192,-280.04773630966014
-504314.6378511,-280.47382473497817
-504315.2066062,-280.8716644939631
-504316.7627019,-281.5164627628457
-504315.6233871,-281.13848011770733
-504316.353994,-281.6592616811428
-504316.8472517,-281.7539034440212
-504317.0036185,-282.2770509142657
-504317.0540383,-282.1963074884068
-504317.0547817,-282.19736617461257
-504317.0549508,-282.19545481120406
-504317.4368151,-282.1330245164552
-504317.595575,-282.6641322755896
-504317.6547053,-282.5755692500502
-504316.911345,-282.05801792865657
-504317.6558134,-282.57296303071695
-504317.6560362,-282.56917884196764
-504318.7614903,-283.10249801363597
-504314.5793804,-280.6545883529928
-504315.1300942,-280.96516608270105
-504315.956243,-281.47434693437145
-504316.646436,-281.8737162823337
-504317.630673,-282.48898113502935
-504314.9261706,-280.65249987397266
-504315.0749228,-281.1228185686133
-504317.4669081,-282.61052221695854
-504316.9639957,-281.9660105656679
-504315.1197101,-281.06230657208624
-504315.1219213,-281.057624373004
-504315.1223145,-281.0518953415683
-504319.1364992,-283.19571264754234
-504319.1365023,-283.19556768870166
-504319.1365217,-283.1955482192972
-504315.8313506,-281.3664168358659
-504316.2010589,-281.5695451683765
-504316.6799514,-281.861376717898
-504316.9994702,-282.0404285961124
-504316.9647167,-281.9669677466605
-504317.6581379,-282.4680735895954
-504313.8563191,-280.06905791257344
-504314.6350992,-280.5823266292873
-504315.7324609,-281.3392832792303
-504316.6591483,-281.93362281470496
-504317.4117483,-282.35210233010406
-504314.815335,-280.60401057143633
-504314.815296,-280.6041465942559
-504314.8177182,-280.6045951122574
-504314.8177299,-280.60422304384605
-504316.9648874,-281.96468064567244
-504324.8284008,-286.1370041438682
-504324.8218499,-286.13003015128095
-504324.8279906,-286.1353560418422
-504324.8284851,-286.13598582559143
-504324.8285409,-286.1369858056012
-504324.8285541,-286.1377838709753
-504324.8286085,-286.1375977476858
-504315.4339174,-281.115150786568
-504316.9372403,-282.122514202614
-504318.2942765,-282.9843193100584
-504324.5410565,-285.6803466321581
-504319.5142802,-283.7229362810698
-504320.5866814,-284.35503610133213
-504314.8624948,-280.75798828070225
-504315.4410055,-281.1245374271178
-504316.038204,-281.53502457282514
-504316.5364637,-281.8548107755528
-504317.190237,-282.31108727834425
-504318.1313778,-282.25091893237646
-504318.2916315,-282.78279105682446
-504318.3436613,-282.6873904604191
-504315.0595225,-280.41755568263716
-504318.3445139,-282.6838609068331
-504318.3446553,-282.6803295773939
-504314.8610521,-280.7174280912573
-504315.8771567,-281.37590458503314
-504317.1340513,-282.2288116002458
-504318.1934174,-282.9102785843976
-504319.0918427,-283.45406699707416
-504314.8307856,-280.7268358398841
-504314.8307823,-280.7269041465359
-504314.8307839,-280.7271173445823
-504315.3609418,-280.99411729544113
-504314.8307922,-280.72696768685176
-504315.9168781,-281.380069142205
-504315.9601705,-281.31247187300545
-504315.9601701,-281.31263634997407
-504315.9601724,-281.3126130802987
-504315.9601796,-281.3126298739635
-504316.8072041,-282.0600284515763
-504317.8127107,-282.69269361720006
-504318.9637607,-283.43241070490126
-504319.9200946,-284.00421031019755
-504315.4146372,-280.88203309275286
-504320.8417907,-284.5137729951415
-504316.3006001,-281.6602377900233
-504317.2485982,-282.28176193325396
-504318.2761853,-282.9812797613015
-504319.1368876,-283.52630026011013
