DFT,MACE
-504323.4066063,-301.37055907513127
-504314.5243177,-299.26172624735347
-504316.6569868,-301.40502950788516
-504316.6127462,-300.85581520692494
-504316.8906955,-301.0171766229654
-504314.077268,-299.1382247746236
-504314.0773391,-299.20052459916724
-504314.0773345,-299.1526573898672
-504314.0773065,-299.2009908931194
-504311.6596693,-297.3186068494128
-504312.3162598,-297.8139738792591
-504313.0870136,-298.2499964068017
-504313.7050904,-298.62626421585094
-504314.1234782,-298.78976088862737
-504315.9153094,-300.3752640401025
-504316.8909063,-300.95232930930507
-504315.9153086,-300.37676459044496
-504315.9153129,-300.3182500815728
-504315.9153132,-300.37628616285025
-504315.9153261,-300.3663064517808
-504314.3930071,-299.2066312407476
-504314.3930059,-299.1585308388381
-504314.3930044,-299.2062476591717
-504314.3932016,-299.1399025323444
-504318.0111342,-300.79356283740066
-504318.147705,-302.0288158664121
-504314.7644098,-299.56912480195643
-504318.2032364,-301.70747879940285
-504318.2039657,-301.75146103485724
-504318.2041371,-301.72831384177306
-504315.362752,-299.250701743452
-504316.8990336,-300.2051618506578
-504318.0611584,-301.0839229813231
-504319.0033274,-301.6916409873748
-504319.7203011,-302.1646350722334
-504317.4335996,-301.111409857018
-504317.4336188,-301.35631926745356
-504315.2509726,-299.72019295879204
-504317.4336228,-301.35687029998246
-504317.4336327,-301.2881265860277
-504316.1979554,-300.40522726650306
-504316.1981335,-300.38061455639655
-504316.1981426,-300.399951751452
-504316.1983883,-300.33146653850844
-738723.1784888,-300.51714417635696
-741911.1871886,-301.20387440374816
-741012.9983412,-301.52373475695276
-741052.5414232,-301.52174372662813
-504316.0921262,-300.172451330498
-741053.2846638,-301.5253431341417
-741327.8540627,-301.42913767341724
-741514.3755682,-301.4500524060584
-741459.5960877,-301.4784111549149
-741459.6464112,-301.32442850398013
-741458.7019715,-301.47825815570235
-504316.0642771,-300.26002706119914
-504317.1150568,-300.89603028055376
-504318.2518618,-301.66053399526345
-504319.1800719,-302.22830080873723
-504316.8514909,-300.5095840981877
-504319.9454596,-302.6119267295546
-504315.0163158,-299.623004516691
-504316.5646921,-300.57708073495274
-504317.6212803,-301.22507759408654
-504318.7297431,-301.8099444006032
-504319.9290208,-302.47762090979575
-504316.288091,-300.607809777248
-504316.2880943,-300.6729464286439
-504316.2880372,-300.6515354918734
-504313.9271272,-298.4264924592301
-504317.5309685,-300.9463252813216
-504314.0504681,-299.4674087772571
-504314.0939428,-299.2125509583615
-504314.0958547,-299.2892971618945
-504314.0965514,-299.2599224188791
-504314.0965513,-299.2766169675707
-504314.0977008,-299.2583406568807
-504314.0977095,-299.2752127155229
-504314.0977928,-299.26672938121044
-504314.0826849,-299.152360198044
-504314.9419164,-299.3536971156687
-504326.0755932,-304.16798818545084
-504316.0307975,-300.1272562196685
-504316.9307496,-300.8182047971156
-504317.6470433,-301.12103178245854
-740702.782745,-298.6749070324935
-740945.763166,-298.69459170014784
-740907.3476478,-298.7601584091544
-740903.7118049,-298.70602365994836
-504313.9739192,-298.94344702238925
-504314.6378511,-299.1990848271208
-504315.2066062,-299.59800008263346
-504316.7627019,-299.5501511006629
-504315.6233871,-299.8203971125672
-504316.353994,-300.30786102470086
-504316.8472517,-299.7423030073836
-504317.0036185,-301.374570323975
-504317.0540383,-301.09091878382776
-504317.0547817,-301.10011420669144
-504317.0549508,-301.0560728337894
-504317.4368151,-300.48609058023686
-504317.595575,-301.7593503878105
-504317.6547053,-301.48670664155844
-504316.911345,-301.13840866641254
-504317.6558134,-301.48615712165736
-504317.6560362,-301.4718017627749
-504318.7614903,-302.03918073879197
-504314.5793804,-299.4831168565648
