0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
27,28,29,45,46,47,36,37,38,39,40,41,30,31,32,48,49,50,51,52,53,42,43,44,33,34,35,19,20,18,10,11,9,1,2,0,4,5,3,22,23,21,13,14,12,16,17,15,7,8,6,25,26,24,82,83,81,100,101,99,91,92,90,94,95,93,85,86,84,103,104,102,106,107,105,97,98,96,88,89,87,72,73,74,63,64,65,54,55,56,57,58,59,75,76,77,66,67,68,69,70,71,60,61,62,78,79,80
18,19,20,15,16,17,3,4,5,21,22,23,9,10,11,6,7,8,24,25,26,12,13,14,0,1,2,51,52,53,39,40,41,27,28,29,45,46,47,42,43,44,30,31,32,48,49,50,36,37,38,33,34,35,72,73,74,69,70,71,57,58,59,75,76,77,63,64,65,60,61,62,78,79,80,66,67,68,54,55,56,105,106,107,93,94,95,81,82,83,99,100,101,96,97,98,84,85,86,102,103,104,90,91,92,87,88,89
51,52,53,48,49,50,45,46,47,42,43,44,39,40,41,36,37,38,33,34,35,30,31,32,27,28,29,25,26,24,22,23,21,19,20,18,16,17,15,13,14,12,10,11,9,7,8,6,4,5,3,1,2,0,106,107,105,103,104,102,100,101,99,97,98,96,94,95,93,91,92,90,88,89,87,85,86,84,82,83,81,78,79,80,75,76,77,72,73,74,69,70,71,66,67,68,63,64,65,60,61,62,57,58,59,54,55,56
24,25,26,6,7,8,15,16,17,12,13,14,21,22,23,3,4,5,0,1,2,9,10,11,18,19,20,33,34,35,42,43,44,51,52,53,48,49,50,30,31,32,39,40,41,36,37,38,45,46,47,27,28,29,78,79,80,60,61,62,69,70,71,66,67,68,75,76,77,57,58,59,54,55,56,63,64,65,72,73,74,87,88,89,96,97,98,105,106,107,102,103,104,84,85,86,93,94,95,90,91,92,99,100,101,81,82,83
33,34,35,36,37,38,48,49,50,30,31,32,42,43,44,45,46,47,27,28,29,39,40,41,51,52,53,1,2,0,13,14,12,25,26,24,7,8,6,10,11,9,22,23,21,4,5,3,16,17,15,19,20,18,88,89,87,91,92,90,103,104,102,85,86,84,97,98,96,100,101,99,82,83,81,94,95,93,106,107,105,54,55,56,66,67,68,78,79,80,60,61,62,63,64,65,75,76,77,57,58,59,69,70,71,72,73,74
27,28,29,36,37,38,45,46,47,30,31,32,39,40,41,48,49,50,33,34,35,42,43,44,51,52,53,1,2,0,10,11,9,19,20,18,4,5,3,13,14,12,22,23,21,7,8,6,16,17,15,25,26,24,82,83,81,91,92,90,100,101,99,85,86,84,94,95,93,103,104,102,88,89,87,97,98,96,106,107,105,54,55,56,63,64,65,72,73,74,57,58,59,66,67,68,75,76,77,60,61,62,69,70,71,78,79,80
18,19,20,3,4,5,15,16,17,9,10,11,21,22,23,6,7,8,0,1,2,12,13,14,24,25,26,27,28,29,39,40,41,51,52,53,45,46,47,30,31,32,42,43,44,36,37,38,48,49,50,33,34,35,72,73,74,57,58,59,69,70,71,63,64,65,75,76,77,60,61,62,54,55,56,66,67,68,78,79,80,81,82,83,93,94,95,105,106,107,99,100,101,84,85,86,96,97,98,90,91,92,102,103,104,87,88,89
51,52,53,45,46,47,48,49,50,39,40,41,42,43,44,36,37,38,27,28,29,30,31,32,33,34,35,19,20,18,22,23,21,25,26,24,16,17,15,10,11,9,13,14,12,4,5,3,7,8,6,1,2,0,106,107,105,100,101,99,103,104,102,94,95,93,97,98,96,91,92,90,82,83,81,85,86,84,88,89,87,72,73,74,75,76,77,78,79,80,69,70,71,63,64,65,66,67,68,57,58,59,60,61,62,54,55,56
24,25,26,15,16,17,6,7,8,21,22,23,12,13,14,3,4,5,18,19,20,9,10,11,0,1,2,51,52,53,42,43,44,33,34,35,48,49,50,39,40,41,30,31,32,45,46,47,36,37,38,27,28,29,78,79,80,69,70,71,60,61,62,75,76,77,66,67,68,57,58,59,72,73,74,63,64,65,54,55,56,105,106,107,96,97,98,87,88,89,102,103,104,93,94,95,84,85,86,99,100,101,90,91,92,81,82,83
33,34,35,48,49,50,36,37,38,42,43,44,30,31,32,45,46,47,51,52,53,39,40,41,27,28,29,25,26,24,13,14,12,1,2,0,7,8,6,22,23,21,10,11,9,16,17,15,4,5,3,19,20,18,88,89,87,103,104,102,91,92,90,97,98,96,85,86,84,100,101,99,106,107,105,94,95,93,82,83,81,78,79,80,66,67,68,54,55,56,60,61,62,75,76,77,63,64,65,69,70,71,57,58,59,72,73,74
